xtlc,xtlc_1D_PPD,ytlc,ytlc_1D_PPD,dtlc,dtlc_1D_PPD,length,length_1D_PPD,opening,opening_1D_PPD
4.24830e+05,7.51445e-03,4.51942e+06,2.31214e-03,3.48614e+03,1.01156e-03,1.02289e+03,7.21965e-01,1.41642e+00,2.42775e-02
4.24878e+05,1.34393e-02,4.51943e+06,1.61850e-02,3.50795e+03,2.31214e-03,1.11586e+03,1.50578e-01,1.55240e+00,1.60405e-02
4.24927e+05,4.91329e-03,4.51944e+06,7.87572e-02,3.52977e+03,8.23699e-03,1.20883e+03,1.66185e-02,1.68838e+00,5.34682e-03
4.24975e+05,5.20231e-03,4.51945e+06,1.64740e-01,3.55159e+03,6.79191e-03,1.30180e+03,9.10405e-03,1.82435e+00,7.80347e-03
4.25023e+05,5.49133e-03,4.51946e+06,2.27890e-01,3.57341e+03,4.47977e-03,1.39477e+03,1.37283e-02,1.96033e+00,1.14162e-02
4.25072e+05,5.78035e-03,4.51947e+06,2.28757e-01,3.59523e+03,6.64740e-03,1.48774e+03,8.95954e-03,2.09631e+00,3.61272e-03
4.25120e+05,3.32370e-03,4.51948e+06,1.34538e-01,3.61704e+03,1.25723e-02,1.58071e+03,6.50289e-03,2.23229e+00,2.02312e-03
4.25168e+05,8.38150e-03,4.51948e+06,5.83815e-02,3.63886e+03,5.20231e-03,1.67368e+03,2.31214e-03,2.36826e+00,2.74566e-03
4.25216e+05,7.94798e-03,4.51949e+06,2.28324e-02,3.66068e+03,3.32370e-03,1.76665e+03,1.58960e-03,2.50424e+00,5.78035e-03
4.25265e+05,4.91329e-03,4.51950e+06,1.32948e-02,3.68250e+03,2.89017e-03,1.85962e+03,2.31214e-03,2.64022e+00,6.79191e-03
4.25313e+05,2.31214e-03,4.51951e+06,8.52601e-03,3.70432e+03,3.17919e-03,1.95258e+03,7.80347e-03,2.77619e+00,7.36994e-03
4.25361e+05,1.30058e-03,4.51952e+06,7.22543e-03,3.72613e+03,4.33526e-03,2.04555e+03,8.81503e-03,2.91217e+00,9.53757e-03
4.25410e+05,3.61272e-03,4.51953e+06,1.01156e-02,3.74795e+03,6.35838e-03,2.13852e+03,4.33526e-03,3.04815e+00,5.34682e-03
4.25458e+05,6.06936e-03,4.51953e+06,8.23699e-03,3.76977e+03,1.14162e-02,2.23149e+03,2.60116e-03,3.18413e+00,4.04624e-03
4.25506e+05,1.19942e-02,4.51954e+06,7.51445e-03,3.79159e+03,1.76301e-02,2.32446e+03,4.62428e-03,3.32010e+00,5.20231e-03
4.25555e+05,1.53179e-02,4.51955e+06,6.21387e-03,3.81341e+03,9.39306e-02,2.41743e+03,6.21387e-03,3.45608e+00,2.13873e-02
4.25603e+05,7.80347e-03,4.51956e+06,2.89017e-03,3.83522e+03,3.21387e-01,2.51040e+03,6.93642e-03,3.59206e+00,4.72543e-02
4.25651e+05,5.17341e-02,4.51957e+06,1.01156e-03,3.85704e+03,3.44075e-01,2.60337e+03,3.90173e-03,3.72803e+00,1.10694e-01
4.25700e+05,4.53324e-01,4.51958e+06,2.89017e-04,3.87886e+03,1.28902e-01,2.69634e+03,1.27168e-02,3.86401e+00,2.38439e-01
4.25748e+05,3.79624e-01,4.51959e+06,2.89017e-04,3.90068e+03,1.53179e-02,2.78931e+03,8.38150e-03,3.99999e+00,4.64884e-01
