xcen,xcen_1D_PPD,ycen,ycen_1D_PPD,depth,depth_1D_PPD,radius,radius_1D_PPD,dP_mu,dP_mu_1D_PPD
4.22502e+05,8.91667e-03,4.51550e+06,2.15833e-02,2.25004e+03,5.43333e-02,6.74443e+02,2.48000e-01,5.95010e-04,3.82500e-02
4.23001e+05,9.66667e-03,4.51600e+06,2.78333e-02,2.50001e+03,1.03667e-01,8.48797e+02,2.31250e-01,1.09000e-03,5.14167e-02
4.23500e+05,1.27500e-02,4.51650e+06,3.23333e-02,2.74999e+03,1.34250e-01,1.02315e+03,1.65750e-01,1.58499e-03,7.25833e-02
4.23999e+05,1.59167e-02,4.51700e+06,3.86667e-02,2.99997e+03,1.35500e-01,1.19750e+03,1.15583e-01,2.07998e-03,8.15000e-02
4.24499e+05,2.07500e-02,4.51750e+06,5.37500e-02,3.24995e+03,8.61667e-02,1.37186e+03,6.92500e-02,2.57497e-03,9.45833e-02
4.24998e+05,3.05000e-02,4.51800e+06,8.33333e-02,3.49992e+03,5.87500e-02,1.54621e+03,4.23333e-02,3.06996e-03,6.58333e-02
4.25497e+05,5.79167e-02,4.51850e+06,1.69417e-01,3.74990e+03,3.86667e-02,1.72057e+03,2.90000e-02,3.56495e-03,4.86667e-02
4.25997e+05,1.49000e-01,4.51900e+06,3.71750e-01,3.99988e+03,3.23333e-02,1.89492e+03,1.82500e-02,4.05994e-03,4.39167e-02
4.26496e+05,3.90417e-01,4.51950e+06,9.34167e-02,4.24986e+03,2.85833e-02,2.06927e+03,1.35833e-02,4.55493e-03,5.35833e-02
4.26995e+05,1.41583e-01,4.52000e+06,2.26667e-02,4.49984e+03,3.21667e-02,2.24363e+03,1.06667e-02,5.04992e-03,4.66667e-02
4.27494e+05,4.75833e-02,4.52050e+06,1.47500e-02,4.74981e+03,3.36667e-02,2.41798e+03,8.08333e-03,5.54491e-03,4.40000e-02
4.27994e+05,2.35833e-02,4.52100e+06,1.02500e-02,4.99979e+03,3.98333e-02,2.59234e+03,8.08333e-03,6.03990e-03,4.09167e-02
4.28493e+05,1.77500e-02,4.52150e+06,7.83333e-03,5.24977e+03,3.17500e-02,2.76669e+03,6.25000e-03,6.53489e-03,3.06667e-02
4.28992e+05,1.44167e-02,4.52200e+06,8.16667e-03,5.49975e+03,3.20833e-02,2.94104e+03,6.33333e-03,7.02988e-03,2.75833e-02
4.29492e+05,1.21667e-02,4.52250e+06,8.00000e-03,5.74972e+03,3.08333e-02,3.11540e+03,4.41667e-03,7.52487e-03,2.60000e-02
4.29991e+05,1.07500e-02,4.52300e+06,5.83333e-03,5.99970e+03,3.35000e-02,3.28975e+03,4.33333e-03,8.01986e-03,2.70000e-02
4.30490e+05,9.75000e-03,4.52350e+06,8.91667e-03,6.24968e+03,2.80833e-02,3.46411e+03,5.50000e-03,8.51486e-03,2.87500e-02
4.30990e+05,9.75000e-03,4.52400e+06,7.66667e-03,6.49966e+03,2.36667e-02,3.63846e+03,4.33333e-03,9.00985e-03,4.11667e-02
4.31489e+05,7.83333e-03,4.52450e+06,6.25000e-03,6.74963e+03,2.01667e-02,3.81281e+03,3.58333e-03,9.50484e-03,8.15000e-02
4.31988e+05,9.00000e-03,4.52500e+06,7.58333e-03,6.99961e+03,2.20000e-02,3.98717e+03,5.41667e-03,9.99983e-03,5.54167e-02
