xcen,xcen_1D_PPD,ycen,ycen_1D_PPD,depth,depth_1D_PPD,dP_mu,dP_mu_1D_PPD
4.26142e+05,9.03179e-04,4.51872e+06,7.22543e-04,2.56449e+03,1.84249e-02,3.09882e-03,3.79335e-03
4.26153e+05,1.44509e-03,4.51873e+06,1.62572e-03,2.58579e+03,1.98338e-01,3.12953e-03,3.81142e-02
4.26165e+05,2.70954e-03,4.51873e+06,2.52890e-03,2.60708e+03,4.66763e-01,3.16024e-03,2.03757e-01
4.26176e+05,1.62572e-03,4.51874e+06,3.97399e-03,2.62838e+03,2.50361e-01,3.19095e-03,3.68858e-01
4.26187e+05,1.62572e-03,4.51875e+06,1.98699e-03,2.64967e+03,2.79986e-02,3.22166e-03,2.73121e-01
4.26199e+05,7.22543e-04,4.51876e+06,2.52890e-03,2.67097e+03,2.52890e-03,3.25237e-03,6.57514e-02
4.26210e+05,1.08382e-03,4.51877e+06,1.98699e-03,2.69226e+03,5.41908e-03,3.28308e-03,9.39306e-03
4.26222e+05,1.62572e-03,4.51877e+06,2.89017e-03,2.71356e+03,6.32225e-03,3.31379e-03,3.97399e-03
4.26233e+05,3.25145e-03,4.51878e+06,3.25145e-03,2.73485e+03,1.10188e-02,3.34449e-03,8.67052e-03
4.26244e+05,3.97399e-03,4.51879e+06,3.61272e-03,2.75614e+03,3.61272e-03,3.37520e-03,5.96098e-03
4.26256e+05,2.34827e-03,4.51880e+06,3.25145e-03,2.77744e+03,2.70954e-03,3.40591e-03,1.15607e-02
4.26267e+05,1.26445e-03,4.51880e+06,5.96098e-03,2.79873e+03,1.98699e-03,3.43662e-03,4.51590e-03
4.26279e+05,4.51590e-03,4.51881e+06,2.60116e-02,2.82003e+03,1.98699e-03,3.46733e-03,1.08382e-03
4.26290e+05,5.59971e-03,4.51882e+06,9.04986e-02,2.84132e+03,9.03179e-04,3.49804e-03,3.61272e-04
4.26301e+05,1.33671e-02,4.51883e+06,2.23988e-01,2.86262e+03,7.22543e-04,3.52875e-03,0.00000e+00
4.26313e+05,1.06395e-01,4.51884e+06,2.80166e-01,2.88391e+03,1.80636e-04,3.55946e-03,5.41908e-04
4.26324e+05,3.29841e-01,4.51884e+06,2.24169e-01,2.90521e+03,0.00000e+00,3.59016e-03,3.61272e-04
4.26336e+05,3.69581e-01,4.51885e+06,9.35694e-02,2.92650e+03,3.61272e-04,3.62087e-03,0.00000e+00
4.26347e+05,1.33671e-01,4.51886e+06,2.42052e-02,2.94780e+03,1.80636e-04,3.65158e-03,0.00000e+00
4.26359e+05,1.44509e-02,4.51887e+06,3.07081e-03,2.96909e+03,1.80636e-04,3.68229e-03,1.80636e-04
