xcen,xcen_1D_PPD,ycen,ycen_1D_PPD,depth,depth_1D_PPD,Pxx,Pxx_1D_PPD,Pyy,Pyy_1D_PPD,Pzz,Pzz_1D_PPD
4.26011e+05,1.80375e-03,4.51802e+06,1.80375e-04,2.93472e+03,6.29509e-02,1.69403e+06,8.69408e-02,7.81112e+06,3.60750e-04,1.74232e+07,7.20599e-02
4.26030e+05,2.10137e-02,4.51806e+06,0.00000e+00,3.04832e+03,6.11472e-01,2.38795e+06,7.39538e-03,8.52294e+06,3.24675e-03,1.81366e+07,6.03445e-01
4.26050e+05,5.30303e-02,4.51810e+06,0.00000e+00,3.16191e+03,5.03247e-02,3.08186e+06,5.14069e-03,9.23475e+06,5.50144e-03,1.88500e+07,4.88817e-02
4.26069e+05,4.77994e-02,4.51814e+06,9.01876e-05,3.27550e+03,2.61544e-03,3.77577e+06,2.61544e-03,9.94657e+06,6.31313e-03,1.95634e+07,3.60750e-03
4.26089e+05,2.65152e-02,4.51819e+06,1.80375e-04,3.38909e+03,2.07431e-03,4.46968e+06,3.51732e-03,1.06584e+07,4.32900e-03,2.02768e+07,5.68182e-03
4.26108e+05,2.81385e-02,4.51823e+06,2.61544e-03,3.50268e+03,5.05051e-03,5.16359e+06,2.97619e-03,1.13702e+07,7.12482e-03,2.09902e+07,3.85101e-02
4.26128e+05,2.26371e-02,4.51827e+06,2.46212e-02,3.61627e+03,2.80483e-02,5.85750e+06,5.86219e-03,1.20820e+07,9.37951e-03,2.17036e+07,3.85101e-02
4.26147e+05,5.86219e-03,4.51831e+06,3.12951e-02,3.72986e+03,4.14863e-02,6.55141e+06,6.76407e-03,1.27938e+07,2.36291e-02,2.24170e+07,1.82179e-02
4.26166e+05,5.86219e-03,4.51835e+06,1.76768e-02,3.84345e+03,1.80375e-02,7.24532e+06,1.06421e-02,1.35056e+07,5.06854e-02,2.31304e+07,6.04257e-03
4.26186e+05,1.20851e-02,4.51839e+06,2.36291e-02,3.95704e+03,1.18146e-02,7.93924e+06,1.75866e-02,1.42175e+07,5.79906e-02,2.38438e+07,4.87013e-03
4.26205e+05,1.10029e-02,4.51843e+06,1.16342e-02,4.07063e+03,2.66053e-02,8.63315e+06,2.18254e-02,1.49293e+07,4.93326e-02,2.45572e+07,2.62446e-02
4.26225e+05,5.50144e-03,4.51847e+06,3.33694e-03,4.18422e+03,1.34380e-02,9.32706e+06,2.20960e-02,1.56411e+07,2.78680e-02,2.52706e+07,1.07323e-02
4.26244e+05,7.57576e-03,4.51851e+06,2.18254e-02,4.29781e+03,1.43398e-02,1.00210e+07,1.13636e-02,1.63529e+07,1.09578e-01,2.59840e+07,1.79473e-02
4.26264e+05,3.10245e-02,4.51855e+06,3.03030e-02,4.41140e+03,4.68975e-03,1.07149e+07,1.25361e-02,1.70647e+07,6.18506e-01,2.66974e+07,2.38095e-02
4.26283e+05,3.37121e-01,4.51859e+06,2.60642e-02,4.52499e+03,8.65801e-03,1.14088e+07,1.62338e-02,1.77765e+07,2.38997e-02,2.74108e+07,1.42496e-02
4.26303e+05,3.52543e-01,4.51863e+06,2.74170e-02,4.63858e+03,1.42496e-02,1.21027e+07,1.76768e-02,1.84884e+07,1.71356e-03,2.81242e+07,5.93434e-02
4.26322e+05,2.90404e-02,4.51867e+06,4.92424e-02,4.75217e+03,1.54221e-02,1.27966e+07,1.87590e-02,1.92002e+07,2.70563e-04,2.88376e+07,6.94444e-03
4.26341e+05,1.17244e-03,4.51872e+06,1.43398e-02,4.86576e+03,1.99315e-02,1.34905e+07,3.33694e-03,1.99120e+07,0.00000e+00,2.95510e+07,4.50938e-04
4.26361e+05,1.80375e-04,4.51876e+06,5.28048e-01,4.97936e+03,2.16450e-02,1.41844e+07,3.18362e-01,2.06238e+07,9.01876e-05,3.02644e+07,1.80375e-04
4.26380e+05,9.01876e-05,4.51880e+06,1.87500e-01,5.09295e+03,2.71465e-02,1.48783e+07,4.08369e-01,2.13356e+07,1.80375e-04,3.09778e+07,2.70563e-04
